English,Vietnamese
child,đứa trẻ
straight,thẳng
consonant,phụ âm
nation,quốc gia
dictionary,từ điển
milk,sữa
speed,tốc độ
method,phương pháp
organ,đàn organ
pay,chi trả
age,tuổi
section,phần
dress,đầm
cloud,đám mây
surprise,sự ngạc nhiên
quiet,im lặng
stone,cục đá
tiny,nhỏ xíu
climb,leo
cool,mát mẻ
design,thiết kế
poor,nghèo
lot,nhiều
experiment,cuộc thí nghiệm
bottom,đáy
key,chìa khóa
iron,sắt
single,đơn
stick,dán
flat,phẳng
twenty,hai mươi
skin,da
smile,nụ cười
crease,nếp nhăn
hole,hố
trade,buôn bán
melody,giai điệu
trip,chuyến đi
office,văn phòng
receive,nhận được
row,hàng ngang
mouth,miệng
exact,chính xác
symbol,biểu tượng
die,chết
least,ít nhất
trouble,rắc rối
shout,hét lên
except,ngoại trừ
wrote,đã viết
seed,hạt giống
tone,tấn
join,tham gia
suggest,gợi ý
clean,lau dọn
break,phá vỡ
lady,quý bà
yard,sân
rise,tăng lên
bad,xấu
blow,thổi
oil,dầu
blood,máu
touch,chạm
grew,lớn lên
cent,xu
mix,pha trộn
team,đội
wire,dây điện
cost,trị giá
lost,mất
brown,màu nâu
wear,mặc
garden,vườn
equal,bình đẳng
sent,đã gửi
choose,chọn
fell,rơi
fit,phù hợp
flow,chảy
fair,hội chợ
bank,ngân hàng
collect,sưu tầm
save,cứu
control,điều khiển
decimal,số thập phân
gentle,dịu dàng
woman,đàn bà
captain,đội trưởng
practice,luyện tập
separate,chia
difficult,khó 
doctor,bác sĩ
please,xin vui lòng
protect,bảo vệ
noon,buổi trưa
whose,của ai
locate,định vị
ring,nhẫn
character,tính cách
insect,côn trùng
caught,bắt gặp
period,giai đoạn
indicate,biểu thị
radio,đài
spoke,đã nói
atom,nguyên tử
human,nhân loại
history,lịch sử
effect,tác dụng
electric,điện
expect,trông chờ
crop,mùa vụ
modern,hiện đại
element,yếu tố
hit,đánh
student,học sinh
corner,góc
party,buổi tiệc
supply,cung cấp
bone,xương
rail,đường sắt
imagine,tưởng tượng
provide,cung cấp
agree,đồng ý
thus,do đó
capital,thủ đô
won't,sẽ không
chair,cái ghế
danger,sự nguy hiểm
fruit,hoa quả
rich,giàu có
thick,dày
soldier,lính
process,quá trình
operate,vận hành
guess,đoán
necessary,cần thiết
sharp,sắc
wing,cánh
create,tạo nên
neighbor,hàng xóm
wash,rửa
bat,con dơi
rather,hơn là
crowd,đám đông
corn,ngô
compare,so sánh
poem,bài thơ
string,sợi dây
bell,chuông
depend,phụ thuộc
meat,thịt
rub,chà
tube,ống
famous,nổi tiếng
dollar,đô la
stream,suối
fear,nỗi sợ
sight,thị giác
thin,gầy
triangle,tam giác
planet,hành tinh
hurry,sự vội vàng
chief,trưởng phòng
colony,thuộc địa
clock,cái đồng hồ
mine,của tôi
tie,cà vạt
enter,đi vào
major,lớn lao
fresh,tươi
search,tìm kiếm
send,gửi
yellow,màu vàng
gun,súng
allow,cho phép
print,in
dead,chết
spot,điểm
desert,sa mạc
suit,bộ đồ
current,hiện hành
lift,thang máy
rose,hoa hồng
continue,tiếp tục
block,khối
chart,đồ thị
hat,mũ
sell,bán
success,thành công
company,công ty
subtract,trừ
event,sự kiện
particular,cụ thể
deal,thỏa thuận
swim,bơi
term,thuật ngữ
opposite,đối diện
wife,vợ
shoe,giày
shoulder,vai
spread,lây lan
arrange,sắp xếp
camp,trại
invent,phát minh
cotton,bông
born,sinh ra
determine,quyết tâm
quart,quart
nine,chín
truck,xe tải
noise,tiếng ồn
level,mức độ
chance,cơ hội
gather,tập trung
shop,cửa hàng
stretch,kéo dài
throw,ném
shine,chiếu sáng
property,tài sản
column,cột
molecule,phân tử
select,lựa chọn
wrong,sai
gray,xám
repeat,lặp lại
require,yêu cầu
broad,rộng lớn
prepare,chuẩn bị
salt,muối
nose,mũi
plural,số nhiều
anger,sự tức giận
claim,khẳng định
continent,lục địa
oxygen,ôxy
sugar,đường
death,cái chết
pretty,đẹp
skill,kỹ năng
women,phụ nữ
season,mùa
solution,giải pháp
magnet,nam châm
silver,bạc
thank,cám ơn
branch,chi nhánh
match,cuộc thi đấu
suffix,hậu tố
especially,đặc biệt
fig,quả sung
afraid,sợ
huge,to lớn
sister,em gái
steel,thép
discuss,bàn luận
forward,phía trước
similar,tương tự
guide,hướng dẫn
experience,kinh nghiệm
score,điểm
apple,quả táo
bought,mua
led,dẫn đến
pitch,sân bóng đá
coat,áo choàng
mass,khối
card,thẻ
band,ban nhạc
rope,dây thừng
slip,trượt
win,thắng
dream,mơ
evening,buổi tối
condition,tình trạng
feed,cho ăn
tool,dụng cụ
total,tổng cộng
basic,nền tảng
smell,mùi
valley,thung lũng
nor,cũng không
double,gấp đôi
seat,ghế
arrive,đến
master,bậc thầy
track,theo dõi
parent,cha mẹ
shore,bờ biển
division,phân công
sheet,tờ giấy
substance,chất
favor,ủng hộ
connect,kết nối
post,bưu kiện
spend,tiêu
chord,dây nhau
fat,mập
glad,vui mừng
original,nguyên bản
share,chia sẻ
station,ga tàu
dad,bố
bread,bánh mỳ
charge,thù lao
proper,thích hợp
bar,quán ba
offer,lời đề nghị
segment,bộ phận
slave,nô lệ
duck,con vịt
instant,lập tức
market,chợ
degree,bằng cấp
populate,cư trú
chick,gà con
dear,thân mến
enemy,kẻ thù
reply,hồi đáp
drink,uống
occur,xảy ra
support,ủng hộ
speech,lời nói
nature,thiên nhiên
range,phạm vi
steam,hơi nước
motion,cử động
path,con đường
liquid,chất lỏng
log,đăng nhập
meant,có nghĩa là
quotient,chỉ số
teeth,răng
shell,vỏ bọc
neck,cổ 
